	name	full_name	X	y	mean_VEC	VEC_dif	mean_electronegativity	electronegativity_dif	atom_radius_dif	a2	melting_point_dif	Smix	aomiga	Hmix	Hmix_dif	Hmix_z	Hmix_p	Hmix_n	phase	label
0	CoFeMnTiV1.6Zr	Ti19.68V1.6Mn19.68Fe19.68Co19.68Zr19.68	1.42721	0.75651	6.3776	0.32146	1.62606	0.1241	0.09851	0.02083	0.11101	0.01385	1.15555	-22.0416	3.88E+23	4.72E+23	0	4.72E+23	IM	3
1	AlCuMg	Mg33.333333333333336Al33.333333333333336Cu33.333333333333336	1.08339	0.78482	5.33333	0.75519	1.60667	0.14992	0.0918	0.01268	0.18906	0.00913	3.6682	-2.66667	4.11E+22	8.43E+22	0	8.43E+22	IM	3
2	VCrFeTa0.4W0.4	V33.06666666666667Cr33.06666666666667Fe33.06666666666667Ta0.4W0.4	11.9166	0.85504	6.32667	0.19682	1.70845	0.05726	0.02822	0.00442	0.10467	0.00949	4.36842	-4.49575	6.02E+22	8.76E+22	1.27E+21	8.76E+22	IM	3
3	Al1.8CoCrCuFeNi	Al1.8Cr19.64Fe19.64Co19.64Ni19.64Cu19.64	29.71604	0.85312	8.6956	0.21519	1.83193	0.05251	0.02162	0.00374	0.16066	0.01389	11.09899	2.19497	1.85E+23	1.87E+23	1.55E+23	1.05E+23	FCC+BCC	5
5	NiCoFeCrAl1.21	Al1.21Cr24.6975Fe24.6975Co24.6975Ni24.6975	43.45056	0.8528	8.18648	0.19277	1.81746	0.05437	0.01657	0.00165	0.11103	0.01193	5.04316	-4.40092	8.84E+22	1.07E+23	0	1.07E+23	FCC	1
6	CoFeMnNi	Mn25.0Fe25.0Co25.0Ni25.0	9.06706	0.91191	8.5	0.13153	1.7925	0.07972	0.03566	0.00769	0.06573	0.01153	4.91899	-4	8.35E+22	1.03E+23	0	1.03E+23	FCC	1
7	Fe18.2Co18.2Ni18.2Cr18.2Mn18.2Al9	Al9.0Cr18.2Mn18.2Fe18.2Co18.2Ni18.2	6.35996	0.85423	7.55	0.26048	1.75196	0.07953	0.04806	0.0115	0.18669	0.01469	2.89217	-8.75202	1.98E+23	2.26E+23	1.53E+22	2.25E+23	FCC	1
8	MoNbHfZrTi1.5	Ti1.5Zr24.625Nb24.625Mo24.625Hf24.625	2.68923	0.84027	4.73875	0.17472	1.59664	0.21458	0.0668	0.01106	0.11658	0.012	15.59735	-1.97	7.42E+22	7.67E+22	3.96E+22	6.57E+22	BCC	0
9	ZrTiVCuNiBe	Be16.666666666666668Ti16.666666666666668V16.666666666666668Ni16.666666666666668Cu16.666666666666668Zr16.666666666666668	1.12665	0.68435	6	0.55277	1.64667	0.12429	0.115	0.02593	0.16377	0.0149	1.08735	-24.88889	5.05E+23	5.81E+23	4.26E+22	5.79E+23	IM	3
11	Al80Li5Mg5Zn5Cu5	Li5.0Mg5.0Al80.0Cu5.0Zn5.0	4.36952	0.78472	3.7	0.71558	1.58	0.10539	0.03848	0.00684	0.16578	0.00647	5.21061	-1.14	6.64E+22	8.39E+22	1.63E+22	8.23E+22	IM	3
12	Fe61B15Mo7Zr8Co5Y2Cr2	B15.0Cr2.0Fe61.0Co5.0Y2.0Zr8.0Mo7.0	0.36247	0.4295	6.7	0.30769	1.8315	0.1124	0.17141	0.03554	0.15958	0.01065	0.95337	-22.3168	3.38E+23	4.98E+23	3.60E+22	4.97E+23	AM	4
14	Al0.2Co1.5CrFeNi1.5Ti0.3	Al0.2Ti0.3Cr48.25Fe48.25Co1.5Ni1.5	47.97098	0.83269	7.058	0.15621	1.74861	0.05052	0.0122	0.00067	0.09669	0.00714	9.01065	-1.57353	3.62E+22	4.56E+22	0	4.56E+22	IM	3
